ride_id,rideable_type,started_at,ended_at,trip_duration,day_of_week,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
CDE6023BE6B11D2F,electric_bike,11/6/2024 17:20,11/6/2024 17:21,0:01:33,2,,,,,41.89,-87.65,41.89,-87.65,casual
9CFB6A858D23ABF7,electric_bike,11/6/2024 17:25,11/6/2024 17:30,0:04:46,2,,,,,41.93,-87.65,41.94,-87.65,casual
6365EFEB64231153,electric_bike,11/6/2024 11:53,11/6/2024 12:08,0:14:23,2,,,,,41.88,-87.64,41.88,-87.64,casual
C806B4280D388CC0,electric_bike,11/6/2024 0:14,11/6/2024 0:20,0:06:35,2,,,,,41.94,-87.64,41.93,-87.64,casual
45CBD564C461DBE9,electric_bike,11/6/2024 18:22,11/6/2024 19:26,1:04:18,2,,,,,41.91,-87.63,41.87,-87.61,casual
17DE443860E503FE,electric_bike,11/6/2024 8:45,11/6/2024 8:56,0:11:17,2,,,,,41.89,-87.62,41.88,-87.63,casual
9CA37E8BE56A5C78,electric_bike,10/6/2024 19:51,10/6/2024 19:53,0:02:08,1,,,,,41.8,-87.7,41.79,-87.7,casual
0B8832ED94F388DB,electric_bike,10/6/2024 19:49,10/6/2024 19:50,0:01:39,1,,,,,41.8,-87.7,41.8,-87.7,casual
4FB7A017D9EF3A0E,electric_bike,11/6/2024 15:56,11/6/2024 16:18,0:21:51,2,,,,,41.88,-87.64,41.94,-87.66,casual
D58B179696F4324F,electric_bike,10/6/2024 19:11,10/6/2024 19:24,0:13:07,1,,,,,41.89,-87.65,41.91,-87.63,casual
06C4D74206854FBF,electric_bike,11/6/2024 0:41,11/6/2024 0:59,0:18:21,2,,,,,41.91,-87.68,41.95,-87.71,casual
F3D133067309C8DF,electric_bike,10/6/2024 21:58,10/6/2024 22:11,0:13:37,1,,,,,41.93,-87.71,41.91,-87.68,casual
A414D79BAEA2477F,electric_bike,11/6/2024 12:35,11/6/2024 12:44,0:08:57,2,,,Wood St & Chicago Ave,637,41.88,-87.65,41.895634,-87.672069,casual
BC90824485F264B8,electric_bike,10/6/2024 19:02,10/6/2024 19:06,0:04:08,1,,,,,42.05,-87.68,42.05,-87.69,casual
EFEF2B0D1219A875,electric_bike,11/6/2024 12:25,11/6/2024 13:25,1:00:16,2,,,,,41.73,-87.64,41.69,-87.61,casual
