ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
CDE6023BE6B11D2F,electric_bike,20:06.3,21:39.5,,,,,41.89,-87.65,41.89,-87.65,casual
462B48CD292B6A18,electric_bike,19:21.6,19:36.4,,,,,41.89,-87.65,41.89,-87.65,casual
9CFB6A858D23ABF7,electric_bike,25:27.1,30:13.0,,,,,41.93,-87.65,41.94,-87.65,casual
6365EFEB64231153,electric_bike,53:50.8,08:13.4,,,,,41.88,-87.64,41.88,-87.64,casual
BA0323C33134CBA8,electric_bike,11:08.2,11:23.0,,,,,41.94,-87.64,41.94,-87.64,casual
DE26F0D728517B77,electric_bike,12:38.4,12:57.8,,,,,41.94,-87.64,41.94,-87.64,casual
C806B4280D388CC0,electric_bike,14:00.7,20:35.3,,,,,41.94,-87.64,41.93,-87.64,casual
45CBD564C461DBE9,electric_bike,22:23.6,26:41.8,,,,,41.91,-87.63,41.87,-87.61,casual
D943D9C4841D9A60,electric_bike,51:10.3,51:28.3,,,,,41.91,-87.74,41.91,-87.74,casual
2C9D2B7821354BFF,electric_bike,49:24.1,49:45.4,,,,,41.91,-87.74,41.91,-87.74,casual
17DE443860E503FE,electric_bike,45:15.4,56:32.6,,,,,41.89,-87.62,41.88,-87.63,casual
9CA37E8BE56A5C78,electric_bike,51:35.8,53:43.6,,,,,41.8,-87.7,41.79,-87.7,casual
0B8832ED94F388DB,electric_bike,49:05.8,50:45.2,,,,,41.8,-87.7,41.8,-87.7,casual
4FB7A017D9EF3A0E,electric_bike,56:58.5,18:49.2,,,,,41.88,-87.64,41.94,-87.66,casual
D58B179696F4324F,electric_bike,11:30.9,24:37.5,,,,,41.89,-87.65,41.91,-87.63,casual
06C4D74206854FBF,electric_bike,41:34.5,59:55.4,,,,,41.91,-87.68,41.95,-87.71,casual
F3D133067309C8DF,electric_bike,58:16.0,11:53.3,,,,,41.93,-87.71,41.91,-87.68,casual
